frame,time_sec,normal_count_conf035,lowconf_hint_count_conf010,expected_count,raw_image,start_label,normal_review_overlay,lowconf_hint_overlay,action
750,30.0,20,21,23,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\images_raw\backcam_crowded_f000750_c20_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\labels_start\backcam_crowded_f000750_c20_expected23.txt,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay\backcam_crowded_f000750_c20_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay_lowconf_hints\backcam_crowded_f000750_c20_expected23.jpg,"Correct label: add every missing real person; remove false positives; final count should match visible real people, usually 23 for this scene."
825,33.0,21,23,23,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\images_raw\backcam_crowded_f000825_c21_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\labels_start\backcam_crowded_f000825_c21_expected23.txt,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay\backcam_crowded_f000825_c21_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay_lowconf_hints\backcam_crowded_f000825_c21_expected23.jpg,"Correct label: add every missing real person; remove false positives; final count should match visible real people, usually 23 for this scene."
900,36.0,19,23,23,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\images_raw\backcam_crowded_f000900_c19_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\labels_start\backcam_crowded_f000900_c19_expected23.txt,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay\backcam_crowded_f000900_c19_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay_lowconf_hints\backcam_crowded_f000900_c19_expected23.jpg,"Correct label: add every missing real person; remove false positives; final count should match visible real people, usually 23 for this scene."
975,39.0,21,23,23,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\images_raw\backcam_crowded_f000975_c21_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\labels_start\backcam_crowded_f000975_c21_expected23.txt,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay\backcam_crowded_f000975_c21_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay_lowconf_hints\backcam_crowded_f000975_c21_expected23.jpg,"Correct label: add every missing real person; remove false positives; final count should match visible real people, usually 23 for this scene."
1050,42.0,22,23,23,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\images_raw\backcam_crowded_f001050_c22_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\labels_start\backcam_crowded_f001050_c22_expected23.txt,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay\backcam_crowded_f001050_c22_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay_lowconf_hints\backcam_crowded_f001050_c22_expected23.jpg,"Correct label: add every missing real person; remove false positives; final count should match visible real people, usually 23 for this scene."
1125,45.0,22,23,23,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\images_raw\backcam_crowded_f001125_c22_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\labels_start\backcam_crowded_f001125_c22_expected23.txt,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay\backcam_crowded_f001125_c22_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay_lowconf_hints\backcam_crowded_f001125_c22_expected23.jpg,"Correct label: add every missing real person; remove false positives; final count should match visible real people, usually 23 for this scene."
1200,48.0,22,25,23,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\images_raw\backcam_crowded_f001200_c22_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\labels_start\backcam_crowded_f001200_c22_expected23.txt,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay\backcam_crowded_f001200_c22_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay_lowconf_hints\backcam_crowded_f001200_c22_expected23.jpg,"Correct label: add every missing real person; remove false positives; final count should match visible real people, usually 23 for this scene."
1275,51.0,20,24,23,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\images_raw\backcam_crowded_f001275_c20_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\labels_start\backcam_crowded_f001275_c20_expected23.txt,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay\backcam_crowded_f001275_c20_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay_lowconf_hints\backcam_crowded_f001275_c20_expected23.jpg,"Correct label: add every missing real person; remove false positives; final count should match visible real people, usually 23 for this scene."
1350,54.0,19,23,23,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\images_raw\backcam_crowded_f001350_c19_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\labels_start\backcam_crowded_f001350_c19_expected23.txt,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay\backcam_crowded_f001350_c19_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay_lowconf_hints\backcam_crowded_f001350_c19_expected23.jpg,"Correct label: add every missing real person; remove false positives; final count should match visible real people, usually 23 for this scene."
1425,57.0,20,23,23,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\images_raw\backcam_crowded_f001425_c20_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\labels_start\backcam_crowded_f001425_c20_expected23.txt,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay\backcam_crowded_f001425_c20_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay_lowconf_hints\backcam_crowded_f001425_c20_expected23.jpg,"Correct label: add every missing real person; remove false positives; final count should match visible real people, usually 23 for this scene."
1500,60.0,20,21,23,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\images_raw\backcam_crowded_f001500_c20_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\labels_start\backcam_crowded_f001500_c20_expected23.txt,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay\backcam_crowded_f001500_c20_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay_lowconf_hints\backcam_crowded_f001500_c20_expected23.jpg,"Correct label: add every missing real person; remove false positives; final count should match visible real people, usually 23 for this scene."
1575,63.0,19,21,23,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\images_raw\backcam_crowded_f001575_c19_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\labels_start\backcam_crowded_f001575_c19_expected23.txt,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay\backcam_crowded_f001575_c19_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay_lowconf_hints\backcam_crowded_f001575_c19_expected23.jpg,"Correct label: add every missing real person; remove false positives; final count should match visible real people, usually 23 for this scene."
1650,66.0,20,21,23,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\images_raw\backcam_crowded_f001650_c20_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\labels_start\backcam_crowded_f001650_c20_expected23.txt,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay\backcam_crowded_f001650_c20_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay_lowconf_hints\backcam_crowded_f001650_c20_expected23.jpg,"Correct label: add every missing real person; remove false positives; final count should match visible real people, usually 23 for this scene."
1725,69.0,18,21,23,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\images_raw\backcam_crowded_f001725_c18_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\labels_start\backcam_crowded_f001725_c18_expected23.txt,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay\backcam_crowded_f001725_c18_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay_lowconf_hints\backcam_crowded_f001725_c18_expected23.jpg,"Correct label: add every missing real person; remove false positives; final count should match visible real people, usually 23 for this scene."
1800,72.0,18,22,23,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\images_raw\backcam_crowded_f001800_c18_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\labels_start\backcam_crowded_f001800_c18_expected23.txt,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay\backcam_crowded_f001800_c18_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay_lowconf_hints\backcam_crowded_f001800_c18_expected23.jpg,"Correct label: add every missing real person; remove false positives; final count should match visible real people, usually 23 for this scene."
1875,75.0,18,22,23,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\images_raw\backcam_crowded_f001875_c18_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\labels_start\backcam_crowded_f001875_c18_expected23.txt,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay\backcam_crowded_f001875_c18_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay_lowconf_hints\backcam_crowded_f001875_c18_expected23.jpg,"Correct label: add every missing real person; remove false positives; final count should match visible real people, usually 23 for this scene."
1950,78.0,18,21,23,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\images_raw\backcam_crowded_f001950_c18_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\labels_start\backcam_crowded_f001950_c18_expected23.txt,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay\backcam_crowded_f001950_c18_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay_lowconf_hints\backcam_crowded_f001950_c18_expected23.jpg,"Correct label: add every missing real person; remove false positives; final count should match visible real people, usually 23 for this scene."
2025,81.0,19,20,23,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\images_raw\backcam_crowded_f002025_c19_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\labels_start\backcam_crowded_f002025_c19_expected23.txt,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay\backcam_crowded_f002025_c19_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay_lowconf_hints\backcam_crowded_f002025_c19_expected23.jpg,"Correct label: add every missing real person; remove false positives; final count should match visible real people, usually 23 for this scene."
2100,84.0,18,19,23,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\images_raw\backcam_crowded_f002100_c18_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\labels_start\backcam_crowded_f002100_c18_expected23.txt,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay\backcam_crowded_f002100_c18_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay_lowconf_hints\backcam_crowded_f002100_c18_expected23.jpg,"Correct label: add every missing real person; remove false positives; final count should match visible real people, usually 23 for this scene."
2175,87.0,20,21,23,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\images_raw\backcam_crowded_f002175_c20_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\labels_start\backcam_crowded_f002175_c20_expected23.txt,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay\backcam_crowded_f002175_c20_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay_lowconf_hints\backcam_crowded_f002175_c20_expected23.jpg,"Correct label: add every missing real person; remove false positives; final count should match visible real people, usually 23 for this scene."
2250,90.0,19,20,23,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\images_raw\backcam_crowded_f002250_c19_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\labels_start\backcam_crowded_f002250_c19_expected23.txt,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay\backcam_crowded_f002250_c19_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay_lowconf_hints\backcam_crowded_f002250_c19_expected23.jpg,"Correct label: add every missing real person; remove false positives; final count should match visible real people, usually 23 for this scene."
2325,93.0,20,21,23,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\images_raw\backcam_crowded_f002325_c20_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\labels_start\backcam_crowded_f002325_c20_expected23.txt,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay\backcam_crowded_f002325_c20_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay_lowconf_hints\backcam_crowded_f002325_c20_expected23.jpg,"Correct label: add every missing real person; remove false positives; final count should match visible real people, usually 23 for this scene."
2400,96.0,21,22,23,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\images_raw\backcam_crowded_f002400_c21_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\labels_start\backcam_crowded_f002400_c21_expected23.txt,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay\backcam_crowded_f002400_c21_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay_lowconf_hints\backcam_crowded_f002400_c21_expected23.jpg,"Correct label: add every missing real person; remove false positives; final count should match visible real people, usually 23 for this scene."
2475,99.0,20,22,23,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\images_raw\backcam_crowded_f002475_c20_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\labels_start\backcam_crowded_f002475_c20_expected23.txt,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay\backcam_crowded_f002475_c20_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay_lowconf_hints\backcam_crowded_f002475_c20_expected23.jpg,"Correct label: add every missing real person; remove false positives; final count should match visible real people, usually 23 for this scene."
2550,102.0,21,23,23,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\images_raw\backcam_crowded_f002550_c21_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\labels_start\backcam_crowded_f002550_c21_expected23.txt,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay\backcam_crowded_f002550_c21_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay_lowconf_hints\backcam_crowded_f002550_c21_expected23.jpg,"Correct label: add every missing real person; remove false positives; final count should match visible real people, usually 23 for this scene."
2625,105.0,20,22,23,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\images_raw\backcam_crowded_f002625_c20_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\labels_start\backcam_crowded_f002625_c20_expected23.txt,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay\backcam_crowded_f002625_c20_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay_lowconf_hints\backcam_crowded_f002625_c20_expected23.jpg,"Correct label: add every missing real person; remove false positives; final count should match visible real people, usually 23 for this scene."
