image,label,review_image,status,person_count,min_conf,max_conf
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00042560ms__f001064.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00042560ms__f001064.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00042560ms__f001064.jpg,ok,21,0.617327868938446,0.9061498641967773
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00044080ms__f001102.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00044080ms__f001102.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00044080ms__f001102.jpg,ok,22,0.5450519323348999,0.9047548174858093
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00045600ms__f001140.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00045600ms__f001140.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00045600ms__f001140.jpg,ok,22,0.6282031536102295,0.9057977199554443
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00047120ms__f001178.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00047120ms__f001178.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00047120ms__f001178.jpg,ok,22,0.528488278388977,0.906183123588562
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00048640ms__f001216.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00048640ms__f001216.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00048640ms__f001216.jpg,ok,22,0.48433294892311096,0.9074121713638306
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00050160ms__f001254.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00050160ms__f001254.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00050160ms__f001254.jpg,ok,22,0.5668712854385376,0.9073036313056946
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00051680ms__f001292.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00051680ms__f001292.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00051680ms__f001292.jpg,ok,19,0.6735836863517761,0.9126682877540588
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00053200ms__f001330.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00053200ms__f001330.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00053200ms__f001330.jpg,ok,21,0.4950631260871887,0.9054409265518188
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00054720ms__f001368.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00054720ms__f001368.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00054720ms__f001368.jpg,ok,21,0.4966348707675934,0.9030542373657227
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00056240ms__f001406.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00056240ms__f001406.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00056240ms__f001406.jpg,ok,20,0.4354925751686096,0.8967889547348022
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00057760ms__f001444.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00057760ms__f001444.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00057760ms__f001444.jpg,ok,19,0.5611820816993713,0.8999431729316711
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00059280ms__f001482.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00059280ms__f001482.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00059280ms__f001482.jpg,ok,20,0.38104748725891113,0.898582935333252
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00060800ms__f001520.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00060800ms__f001520.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00060800ms__f001520.jpg,ok,20,0.6283056735992432,0.8954674005508423
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00062320ms__f001558.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00062320ms__f001558.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00062320ms__f001558.jpg,ok,19,0.7010159492492676,0.895290732383728
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00063840ms__f001596.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00063840ms__f001596.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00063840ms__f001596.jpg,ok,18,0.7001022696495056,0.8951923847198486
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00065360ms__f001634.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00065360ms__f001634.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00065360ms__f001634.jpg,ok,18,0.6224709749221802,0.9176308512687683
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00066880ms__f001672.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00066880ms__f001672.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00066880ms__f001672.jpg,ok,19,0.5571538209915161,0.9116955399513245
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00068400ms__f001710.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00068400ms__f001710.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00068400ms__f001710.jpg,ok,19,0.5741187930107117,0.9078752994537354
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00069920ms__f001748.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00069920ms__f001748.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00069920ms__f001748.jpg,ok,19,0.36708521842956543,0.8967766761779785
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00071440ms__f001786.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00071440ms__f001786.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00071440ms__f001786.jpg,ok,19,0.5006625652313232,0.9171081781387329
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00072960ms__f001824.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00072960ms__f001824.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00072960ms__f001824.jpg,ok,20,0.39665526151657104,0.9148638248443604
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00074480ms__f001862.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00074480ms__f001862.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00074480ms__f001862.jpg,ok,18,0.6679521799087524,0.8827579021453857
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00076000ms__f001900.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00076000ms__f001900.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00076000ms__f001900.jpg,ok,19,0.39524152874946594,0.8855037093162537
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00077520ms__f001938.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00077520ms__f001938.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00077520ms__f001938.jpg,ok,19,0.5034214854240417,0.8868880271911621
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00079040ms__f001976.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00079040ms__f001976.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00079040ms__f001976.jpg,ok,21,0.3543306291103363,0.8852149844169617
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00080560ms__f002014.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00080560ms__f002014.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00080560ms__f002014.jpg,ok,19,0.4514341950416565,0.8939700126647949
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00082080ms__f002052.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00082080ms__f002052.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00082080ms__f002052.jpg,ok,18,0.38318881392478943,0.8909013867378235
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00083600ms__f002090.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00083600ms__f002090.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00083600ms__f002090.jpg,ok,18,0.39162108302116394,0.8998012542724609
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00085120ms__f002128.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00085120ms__f002128.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00085120ms__f002128.jpg,ok,19,0.49400952458381653,0.8975845575332642
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00086640ms__f002166.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00086640ms__f002166.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00086640ms__f002166.jpg,ok,20,0.38207298517227173,0.8921219706535339
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00088160ms__f002204.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00088160ms__f002204.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00088160ms__f002204.jpg,ok,19,0.38299208879470825,0.9027884006500244
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00089680ms__f002242.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00089680ms__f002242.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00089680ms__f002242.jpg,ok,19,0.38870346546173096,0.9078516960144043
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00091200ms__f002280.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00091200ms__f002280.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00091200ms__f002280.jpg,ok,19,0.3678908050060272,0.9011485576629639
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00092720ms__f002318.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00092720ms__f002318.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00092720ms__f002318.jpg,ok,19,0.3573521673679352,0.8864654302597046
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00094240ms__f002356.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00094240ms__f002356.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00094240ms__f002356.jpg,ok,21,0.4232322871685028,0.9184094667434692
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00095760ms__f002394.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00095760ms__f002394.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00095760ms__f002394.jpg,ok,22,0.35739412903785706,0.8913203477859497
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00097280ms__f002432.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00097280ms__f002432.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00097280ms__f002432.jpg,ok,21,0.40339985489845276,0.8947213888168335
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00098800ms__f002470.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00098800ms__f002470.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00098800ms__f002470.jpg,ok,20,0.42351648211479187,0.9096142053604126
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00100320ms__f002508.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00100320ms__f002508.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00100320ms__f002508.jpg,ok,20,0.6290076375007629,0.8903478384017944
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00101840ms__f002546.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00101840ms__f002546.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00101840ms__f002546.jpg,ok,21,0.380412757396698,0.892375648021698
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00103360ms__f002584.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00103360ms__f002584.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00103360ms__f002584.jpg,ok,21,0.4230205714702606,0.8998568654060364
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00104880ms__f002622.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00104880ms__f002622.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00104880ms__f002622.jpg,ok,21,0.3678899109363556,0.8797404170036316
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00106400ms__f002660.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00106400ms__f002660.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00106400ms__f002660.jpg,ok,19,0.545962393283844,0.9085296988487244
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00107920ms__f002698.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00107920ms__f002698.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00107920ms__f002698.jpg,ok,19,0.6012874245643616,0.9096629619598389
